;Column1.1;Column1.2;Column1.2.1;Column1.2.2;Column1.2.3;Column1.3.1;Column1.3.2;Column1.3.3;Column1.4.1;Column1.4.2;Column1.4.22;Column1.4.3;;;;
Image ret;0.000799;0.799;stereoCalib;0.028901;28.901000;colorDetect;0.01318;13.180000;udp;0.000104;0.104;0.042984;;;;
Image ret;0.001227;1.227;stereoCalib;0.054131;54.131000;colorDetect;0.026045;26.045000;udp;0.000145;0.145;0.081548;;;;
Image ret;0.001228;1.228;stereoCalib;0.05509;55.090000;colorDetect;0.016684;16.684000;udp;9.5e-05;0.095;0.073097;;;;
Image ret;0.000822;0.822;stereoCalib;0.029332;29.332000;colorDetect;0.012484;12.484000;udp;9.6e-05;0.096;0.042734;;;;
Image ret;0.000805;0.805;stereoCalib;0.029647;29.647000;colorDetect;0.013257;13.257000;udp;0.000101;0.101;0.04381;;;;
Image ret;0.000982;0.982;stereoCalib;0.027102;27.102000;colorDetect;0.014814;14.814000;udp;8.7e-05;0.087;0.042985;;;;
Image ret;0.000784;0.784;stereoCalib;0.028337;28.337000;colorDetect;0.012395;12.395000;udp;0.00011;0.11;0.041626;;;;
Image ret;0.000802;0.802;stereoCalib;0.029448;29.448000;colorDetect;0.013833;13.833000;udp;0.000116;0.116;0.044199;;;;
Image ret;0.000795;0.795;stereoCalib;0.03036;30.360000;colorDetect;0.014708;14.708000;udp;0.0001;0.1;0.045963;;;;
Image ret;0.000849;0.849;stereoCalib;0.029894;29.894000;colorDetect;0.013926;13.926000;udp;9.9e-05;0.099;0.044768;;;;
Image ret;0.001004;1.004;stereoCalib;0.030366;30.366000;colorDetect;0.013375;13.375000;udp;9.6e-05;0.096;0.044841;;;;
Image ret;0.000802;0.802;stereoCalib;0.030124;30.124000;colorDetect;0.01323;13.230000;udp;0.000108;0.108;0.044264;;;;
Image ret;0.000825;0.825;stereoCalib;0.031309;31.309000;colorDetect;0.012461;12.461000;udp;0.000113;0.113;0.044708;;;;
Image ret;0.000804;0.804;stereoCalib;0.033088;33.088000;colorDetect;0.01241;12.410000;udp;0.0001;0.1;0.046402;;;;
Image ret;0.00093;0.93;stereoCalib;0.029932;29.932000;colorDetect;0.01344;13.440000;udp;9.1e-05;0.091;0.044393;;;;
Image ret;0.000924;0.924;stereoCalib;0.026766;26.766000;colorDetect;0.013162;13.162000;udp;9.3e-05;0.093;0.040945;;;;
Image ret;0.000791;0.791;stereoCalib;0.029626;29.626000;colorDetect;0.012944;12.944000;udp;0.000207;0.207;0.043568;;;;
Image ret;0.000794;0.794;stereoCalib;0.029929;29.929000;colorDetect;0.01315;13.150000;udp;0.000295;0.295;0.044168;;;;
Image ret;0.00091;0.91;stereoCalib;0.028337;28.337000;colorDetect;0.01377;13.770000;udp;0.000113;0.113;0.04313;;;;
Image ret;0.000829;0.829;stereoCalib;0.027302;27.302000;colorDetect;0.014409;14.409000;udp;9e-05;0.09;0.04263;;;;
Image ret;0.000827;0.827;stereoCalib;0.028207;28.207000;colorDetect;0.014035;14.035000;udp;0.000109;0.109;0.043178;;;;
Image ret;0.000953;0.953;stereoCalib;0.034753;34.753000;colorDetect;0.026334;26.334000;udp;0.000149;0.149;0.062189;;;;
Image ret;0.001154;1.154;stereoCalib;0.055604;55.604000;colorDetect;0.017068;17.068000;udp;9.5e-05;0.095;0.073921;;;;
Image ret;0.000857;0.857;stereoCalib;0.02952;29.520000;colorDetect;0.013373;13.373000;udp;0.00012;0.12;0.04387;;;;
Image ret;0.000807;0.807;stereoCalib;0.029728;29.728000;colorDetect;0.013013;13.013000;udp;0.000108;0.108;0.043656;;;;
Image ret;0.000937;0.937;stereoCalib;0.030755;30.755000;colorDetect;0.013516;13.516000;udp;0.000103;0.103;0.045311;;;;
Image ret;0.000844;0.844;stereoCalib;0.033542;33.542000;colorDetect;0.013369;13.369000;udp;9.5e-05;0.095;0.04785;;;;
Image ret;0.000802;0.802;stereoCalib;0.027896;27.896000;colorDetect;0.012595;12.595000;udp;9.7e-05;0.097;0.04139;;;;
Image ret;0.000792;0.792;stereoCalib;0.0302;30.200000;colorDetect;0.012415;12.415000;udp;0.000129;0.129;0.043536;;;;
Image ret;0.000821;0.821;stereoCalib;0.028105;28.105000;colorDetect;0.01261;12.610000;udp;0.000109;0.109;0.041645;;;;
Image ret;0.001011;1.011;stereoCalib;0.027104;27.104000;colorDetect;0.015271;15.271000;udp;9.2e-05;0.092;0.043478;;;;
Image ret;0.000841;0.841;stereoCalib;0.027105;27.105000;colorDetect;0.013549;13.549000;udp;9.1e-05;0.091;0.041586;;;;
Image ret;0.000854;0.854;stereoCalib;0.026263;26.263000;colorDetect;0.013616;13.616000;udp;8.9e-05;0.089;0.040822;;;;
Image ret;0.00093;0.93;stereoCalib;0.030141;30.141000;colorDetect;0.013408;13.408000;udp;0.000128;0.128;0.044607;;;;
Image ret;0.000802;0.802;stereoCalib;0.029832;29.832000;colorDetect;0.012885;12.885000;udp;9e-05;0.09;0.043609;;;;
Image ret;0.000801;0.801;stereoCalib;0.026752;26.752000;colorDetect;0.014285;14.285000;udp;0.000217;0.217;0.042055;;;;
Image ret;0.000868;0.868;stereoCalib;0.028398;28.398000;colorDetect;0.015559;15.559000;udp;0.000123;0.123;0.044948;;;;
Image ret;0.000908;0.908;stereoCalib;0.02956;29.560000;colorDetect;0.014248;14.248000;udp;9.1e-05;0.091;0.044807;;;;
Image ret;0.000937;0.937;stereoCalib;0.031144;31.144000;colorDetect;0.026666;26.666000;udp;0.000152;0.152;0.058899;;;;
Image ret;0.001357;1.357;stereoCalib;0.05538;55.380000;colorDetect;0.026349;26.349000;udp;0.000139;0.139;0.083225;;;;
Image ret;0.001038;1.038;stereoCalib;0.02816;28.160000;colorDetect;0.013387;13.387000;udp;0.000119;0.119;0.042704;;;;
Image ret;0.000832;0.832;stereoCalib;0.029352;29.352000;colorDetect;0.013197;13.197000;udp;9.7e-05;0.097;0.043478;;;;
Image ret;0.001015;1.015;stereoCalib;0.029937;29.937000;colorDetect;0.013411;13.411000;udp;9.4e-05;0.094;0.044457;;;;
Image ret;0.00083;0.83;stereoCalib;0.030008;30.008000;colorDetect;0.012514;12.514000;udp;0.000114;0.114;0.043466;;;;
Image ret;0.000792;0.792;stereoCalib;0.028565;28.565000;colorDetect;0.01346;13.460000;udp;0.000204;0.204;0.043021;;;;
Image ret;0.000889;0.889;stereoCalib;0.029681;29.681000;colorDetect;0.012485;12.485000;udp;0.000107;0.107;0.043162;;;;
